-50.0	-50.295910148839724 -48.24549669652554 -50.24181573660299 -46.92704851336636 -49.450797404699294 -50.98285356753448 -56.87681140109838 -48.884686736470286 -52.32889183693356 -63.45919049042466 -53.36721117153679 -53.30394182341989 -52.23779568012135 -53.1706526870352 -47.81943942562438 -51.445691729066304 -45.16484835974198 -52.07762903218852 -45.256016485514536 -47.90159403521274 

-10.0	-9.828361430372752 -8.819906122020598 -8.83672932919135 -9.812150744645201 -9.098992719006308 -0.003108554231225709 -8.987605102481504 -8.868433286064224 -9.476070477092875 -8.404871984353925 -9.339115896203674 -10.275631915964011 -8.70583101255916 -8.597117418962172 -8.669816807195298 -9.045608442570348 -9.245355234054792 -9.222712896310862 -9.015456182068256 -8.811403678998857 

-5.0	-4.172900907613716 -4.117044222982187 -4.215380997333718 -3.9748036682132755 -4.051354380228435 -4.21277891437755 -4.130731945875237 -4.26862731398128 -3.83895700880581 -4.345386306620232 -4.0814201879441665 -4.0735491024115 -3.8965358144287583 -3.788599893562198 -4.188128539084131 -4.244723161268153 -3.9626103670536486 -3.9147892740313806 -4.219437565063186 -4.269029576959767 

-1.0	-1.1089413724384416 -0.946309038735096 -0.9035840634010508 -0.9453684836003087 -0.9261600253485203 -0.7750564328673762 -0.9893869589319138 -0.9340717216482413 -0.8828085485231442 -1.1293293079733293 -0.9727806394627702 -0.8672634251911605 -0.892178927090576 -0.7809916970492821 -1.0525154759569109 -1.1312124544731263 -0.9212058914149243 -0.9750383977599917 -1.0681143137834292 -0.9059249856995006 

0.0	-0.0704058058607255 0.28124567468637474 0.048592325741924236 0.03184651556188349 -0.0025271054297810796 0.07323545976482318 -0.057403753257779674 -0.25489823539449963 -0.03747597690595278 0.13014660986514764 -0.10985464590409316 -0.0960231919589973 0.07653445713073334 0.0348495452606019 -0.14538825803715694 -0.13875981703328877 -0.09598352756287684 0.007534653453249662 -0.03628835996414832 0.13227312739298847 

1.0	1.0083273295239539 0.9353456111961067 0.9208884726766292 1.0933597669744959 1.0661605712474485 1.1047056023255317 0.9223385924615533 0.8219213330298063 1.0565255907838986 0.7190801255551722 1.3045563924430192 1.4322640863115028 0.7686732635011742 1.261350634535122 1.0691935000621666 1.0510697712589168 1.0977452821019607 1.1417505982981984 0.730355151060641 1.2140578927783898 

5.0	3.7809710365874327 3.6526056127022475 3.818533768417413 3.458880308637238 3.7157579209714773 3.4610793508483084 3.2128667403077964 3.375087712222439 4.165944948740307 3.4012533920531376 3.7142729567271036 3.1778772647507125 3.6156467786314552 4.377872752860789 3.703114184598741 4.100882557189417 4.134538871026718 3.712372925645159 3.7753844319002368 4.050237211409099 

10.0	3.53853209581607 3.6541299832499305 3.3924385409627575 3.488492147673659 3.413270468771863 3.3197731690934136 3.3306264086963635 3.77533259469746 3.4318289560803743 3.5448772293214237 3.4508804681897516 3.503790170975077 3.550867277079255 3.4870723546206275 3.3459191618758144 3.416781389487233 3.473117402708647 3.5571099279347242 3.333808659141779 3.7427973380054804 

50.0	4.400818196156649 4.510083066606105 4.592862544654551 4.476482034800954 4.383743497837493 4.727697103859157 4.8343708130855685 4.550529155552402 5.32195728097364 4.29969435762407 5.0156166650104765 4.144664491407957 4.605950593979598 4.619630188077812 4.140112520324561 5.471462890500343 5.611380174351211 4.256004168504335 5.543575200468895 5.2316520276920775 

